No,Name,Nmin,Nmax,Pmin,Pmax,Kmin,Kmax,pHmin,pHmax
1,AMBOORI,100,120,100,150,100,120,4.5,5.5
2,AANADU,100,120,100,150,100,120,5.6,6.5
3,ANJUTENGU,100,120,100,150,100,120,6.5,7
4,ANDOORKONAM,100,120,100,150,100,120,5.6,6.5
5,ARUVIKKARA,100,120,100,150,100,120,5.6,6.5
6,ARYANADU,100,120,100,150,100,120,4.5,5.5
7,ARYANCODE,100,120,100,150,100,120,4.5,5.5
8,ATHIYANNUR,100,120,100,150,100,120,5.6,6.5
9,ATTINGAL,100,120,100,150,100,120,5.6,6.5
10,AZHOOR,100,120,100,150,100,120,5.6,6.5
11,BALARAMAPURAM,100,120,20,30,100,120,5.6,6.5
12,CHEMMARUTHY,100,120,100,150,100,120,5.6,6.5
13,CHENKAL,100,120,100,150,100,120,5.6,6.5
14,CHERYNNIYOOR,100,120,100,150,100,120,5.6,6.5
15,CHURAYINKEEZHU,100,120,100,150,100,120,5.6,6.5
16,EDAVA,100,120,100,150,100,120,5.6,6.5
17,ELAKAMON,100,120,100,150,100,120,5.6,6.5
18,KADAKAVOOR,100,120,100,150,100,120,5.6,6.5
19,KADINAMKULAM,100,120,100,150,100,120,5.6,6.5
20,KALLARA,100,120,100,150,100,120,5.6,6.5
21,KALLIKADU,100,120,100,150,100,120,5.6,6.5
22,KALLIYOOR,100,120,100,150,100,120,5.6,6.5
23,KANJIRAMKULAM,100,120,100,150,100,120,5.6,6.5
24,KARIMKULAM,100,120,100,150,100,120,6.5,7
25,KARAVARAM,100,120,100,150,100,120,5.6,6.5
26,KARODU,100,120,100,150,100,120,5.6,6.5
27,KARUMKULAM,100,120,100,150,100,120,6.5,7
28,KATTAKADA,100,120,100,150,100,120,5.6,6.5
29,KILIMANOOR,100,120,100,150,100,120,5.6,6.5
30,KIZHUVILOM,100,120,100,150,100,120,5.6,6.5
31,KOLLAYIL,100,120,100,150,100,120,6.5,7
32,KOTTUKAL,100,120,100,150,100,120,5.6,6.5
33,KUDAPPNAKUNNU,100,120,100,150,100,120,5.6,6.5
34,KULATHOOR,100,120,100,150,100,120,5.6,6.5
35,KUNNATHUKAL,100,120,100,150,100,120,5.6,6.5
36,KUTTICHAL,100,120,100,150,100,120,4.5,5.5
37,MADAVOOR,100,120,20,30,100,120,5.6,6.5
38,MALAYINKEEZHU,100,120,20,30,100,120,4.5,5.5
39,MANAMBOOR,100,120,100,150,100,120,5.6,6.5
40,MANGALAPURAM,100,120,200,250,100,120,5.6,6.5
41,MANICKAL,100,120,100,150,100,120,5.6,6.5
42,MAARANALLOOR,100,120,100,150,100,120,5.6,6.5
43,MUDAKKAL,100,120,200,250,100,120,5.6,6.5
44,NAGAROOR,100,120,100,150,100,120,5.6,6.5
45,NANNIYODE,100,120,100,150,100,120,5.6,6.5
46,NAVAIKULAM,100,120,100,150,100,120,5.6,6.5
47,NEDUMANGADU M C,100,120,100,150,100,120,5.6,6.5
48,NELLANADU,100,120,100,150,100,120,5.6,6.5
49,NEYYATTINKARA,100,120,100,150,100,120,5.6,6.5
50,OTTASEKHARAMANGALAM,100,120,100,150,100,120,4.5,5.5
51,OTTOOR,100,120,100,150,100,120,5.6,6.5
52,PALLICHAL,100,120,100,150,100,120,5.6,6.5
53,PALLIKKAL,100,120,100,150,100,120,4.5,5.5
54,PANAVOOR,100,120,100,150,100,120,5.6,6.5
55,PANGODE,100,120,100,150,100,120,5.6,6.5
56,PARASALA,100,120,100,150,100,120,6.5,7
57,PAZHAYAKUNNUMAL,100,120,20,30,100,120,4.5,5.5
58,PERINGAMMALA,100,120,100,150,100,120,5.6,6.5
59,PERUMKADAVILA,100,120,100,150,100,120,4.5,5.5
60,POOVACHAL,100,120,100,150,100,120,5.6,6.5
61,POOVAR,100,120,100,150,100,120,5.6,6.5
62,POTHENCODE,100,120,100,150,100,120,5.6,6.5
63,PULIMAATHU,100,120,100,150,100,120,5.6,6.5
64,PULLAMPARA,100,120,200,250,100,120,4.5,5.5
65,THIRUPURAM,100,120,100,150,100,120,5.6,6.5
66,THOLICODE,100,120,100,150,100,120,5.6,6.5
67,TVM CORP,100,120,100,150,100,120,5.6,6.5
68,UZHAMALAKKAL,100,120,100,150,100,120,5.6,6.5
69,VAKKOM,100,120,100,150,100,120,5.6,6.5
70,VAMANAPURAM,100,120,100,150,100,120,5.6,6.5
71,VARKALA M C,100,120,100,150,100,120,5.6,6.5
72,VELLANADU,100,120,100,150,100,120,5.6,6.5
73,VELLARADA,100,120,100,150,100,120,4.5,5.5
74,VEMBHAYAM,100,120,100,150,100,120,5.6,6.5
75,VENGANNOOR,100,120,100,150,100,120,5.6,6.5
76,VETTOOR,100,120,100,150,100,120,5.6,6.5
77,VILAPPIL,100,120,100,150,100,120,4.5,5.5
78,VILAVOORKAL,100,120,100,150,100,120,4.5,5.5
79,VITHURA,100,120,100,150,100,120,4.5,5.5
